,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,y,MAE,MSE,RMS,Departamento,aux_1,aux_2,yearly,yearly_lower,yearly_upper
61,2017-11-12,517.8501125224494,-786.9981007402396,1190.3519925863975,517.8501125224494,517.8501125224494,-324.161459385957,-324.161459385957,-324.161459385957,-93.16941807275578,-93.16941807275578,-93.16941807275578,0.0,0.0,0.0,193.6886531364924,26,869.5265532141544,1244490.849753274,1115.5675012088125,PUTUMAYO,0,1,-230.99204131320127,-230.99204131320127,-230.99204131320127
62,2017-11-13,516.56846195811,-795.5091861587782,1225.3852268576643,516.56846195811,516.56846195811,-263.6514529573327,-263.6514529573327,-263.6514529573327,29.95002527357934,29.95002527357934,29.95002527357934,0.0,0.0,0.0,252.91700900077728,17,869.5265532141544,1244490.849753274,1115.5675012088125,PUTUMAYO,0,1,-293.60147823091205,-293.60147823091205,-293.60147823091205
63,2017-11-20,507.5969080077336,-1206.3866691991998,881.7990259654466,507.5969080077336,507.5969080077336,-646.4956395434021,-646.4956395434021,-646.4956395434021,29.950025269744014,29.950025269744014,29.950025269744014,0.0,0.0,0.0,-138.89873153566856,17,869.5265532141544,1244490.849753274,1115.5675012088125,PUTUMAYO,0,1,-676.4456648131461,-676.4456648131461,-676.4456648131461
64,2017-12-06,487.0904989783017,-1626.3337238544607,391.55382535946626,487.0904989783017,487.0904989783017,-1031.0983796169285,-1031.0983796169285,-1031.0983796169285,-453.30191759784367,-453.30191759784367,-453.30191759784367,0.0,0.0,0.0,-544.0078806386268,22,869.5265532141544,1244490.849753274,1115.5675012088125,PUTUMAYO,0,1,-577.7964620190849,-577.7964620190849,-577.7964620190849
65,2017-12-18,471.7106922062279,-836.5383047761119,1197.4511937344428,471.7106922062279,471.7106922062279,-320.0539287935597,-320.0539287935597,-320.0539287935597,29.950025272962513,29.950025272962513,29.950025272962513,0.0,0.0,0.0,151.65676341266823,15,869.5265532141544,1244490.849753274,1115.5675012088125,PUTUMAYO,0,1,-350.0039540665222,-350.0039540665222,-350.0039540665222
66,2018-01-01,453.767584305475,-498.12596419852906,1517.0026119975666,453.767584305475,453.767584305475,52.17897188944505,52.17897188944505,52.17897188944505,29.95002527539334,29.95002527539334,29.95002527539334,0.0,0.0,0.0,505.94655619492005,38,869.5265532141544,1244490.849753274,1115.5675012088125,PUTUMAYO,0,1,22.228946614051708,22.228946614051708,22.228946614051708
67,2018-01-10,442.2327292264197,18.29273271833774,2041.0650592326333,442.2327292264197,442.2327296157271,568.9277770732776,568.9277770732776,568.9277770732776,-453.30191759741564,-453.30191759741564,-453.30191759741564,0.0,0.0,0.0,1011.1605062996973,7,869.5265532141544,1244490.849753274,1115.5675012088125,PUTUMAYO,0,1,1022.2296946706932,1022.2296946706932,1022.2296946706932
68,2018-01-22,426.8529224543457,1573.2885324778067,3506.083094516781,426.8528698544036,426.85299763630667,2100.098427076604,2100.098427076604,2100.098427076604,29.950025273988953,29.950025273988953,29.950025273988953,0.0,0.0,0.0,2526.9513495309498,31,869.5265532141544,1244490.849753274,1115.5675012088125,PUTUMAYO,0,1,2070.148401802615,2070.148401802615,2070.148401802615
69,2018-01-29,417.8813685039691,1336.5887747766374,3257.545927165664,417.8812642713031,417.8815125337836,1836.9338058862286,1836.9338058862286,1836.9338058862286,29.95002527242539,29.95002527242539,29.95002527242539,0.0,0.0,0.0,2254.8151743901976,19,869.5265532141544,1244490.849753274,1115.5675012088125,PUTUMAYO,0,1,1806.9837806138032,1806.9837806138032,1806.9837806138032
70,2018-02-04,410.1914651179322,544.1210773941547,2574.6709680299555,410.1912945433336,410.19167640981937,1151.9931622912377,1151.9931622912377,1151.9931622912377,-93.16941807246563,-93.16941807246563,-93.16941807246563,0.0,0.0,0.0,1562.18462740917,22,869.5265532141544,1244490.849753274,1115.5675012088125,PUTUMAYO,0,1,1245.1625803637032,1245.1625803637032,1245.1625803637032
71,2018-02-19,390.96670665284,80.43026301463027,2044.0235050695587,390.96635523583655,390.9671061470479,683.8879419567057,683.8879419567057,683.8879419567057,29.950025271649555,29.950025271649555,29.950025271649555,0.0,0.0,0.0,1074.8546486095456,34,869.5265532141544,1244490.849753274,1115.5675012088125,PUTUMAYO,0,1,653.9379166850563,653.9379166850563,653.9379166850563
72,2018-02-26,381.99515270246343,68.00017969128294,2029.6244328757325,381.9947018870534,381.9956898296554,734.087825024685,734.087825024685,734.087825024685,29.950025271729018,29.950025271729018,29.950025271729018,0.0,0.0,0.0,1116.0829777271483,15,869.5265532141544,1244490.849753274,1115.5675012088125,PUTUMAYO,0,1,704.137799752956,704.137799752956,704.137799752956
73,2018-03-12,364.0520448017107,-714.6931961248841,1234.1250906950806,364.0513739271779,364.05284548428517,-153.06958840959032,-153.06958840959032,-153.06958840959032,29.950025274159838,29.950025274159838,29.950025274159838,0.0,0.0,0.0,210.98245639212035,14,869.5265532141544,1244490.849753274,1115.5675012088125,PUTUMAYO,0,1,-183.01961368375015,-183.01961368375015,-183.01961368375015
74,2018-03-19,355.08049085133433,-970.1215243237376,993.2960646374235,355.07972101520727,355.0814155791985,-320.2054162066747,-320.2054162066747,-320.2054162066747,29.950025270324716,29.950025270324716,29.950025270324716,0.0,0.0,0.0,34.875074644659605,17,869.5265532141544,1244490.849753274,1115.5675012088125,PUTUMAYO,0,1,-350.1554414769994,-350.1554414769994,-350.1554414769994
75,2018-03-26,346.108936900958,-215.3020668121312,1814.8017438960997,346.1080410917168,346.1100093707315,412.2456967317054,412.2456967317054,412.2456967317054,29.95002527267589,29.95002527267589,29.95002527267589,0.0,0.0,0.0,758.3546336326633,9,869.5265532141544,1244490.849753274,1115.5675012088125,PUTUMAYO,0,1,382.29567145902945,382.29567145902945,382.29567145902945
76,2018-04-06,332.01078069322347,1007.4386791687012,3046.0260263700807,332.00966686628334,332.01201077701677,1732.254148917953,1732.254148917953,1732.254148917953,-449.5591245478516,-449.5591245478516,-449.5591245478516,0.0,0.0,0.0,2064.2649296111763,14,869.5265532141544,1244490.849753274,1115.5675012088125,PUTUMAYO,0,1,2181.8132734658043,2181.8132734658043,2181.8132734658043
77,2018-04-16,319.19427504982843,1184.989962179348,3208.243715786961,319.1929886463696,319.1957446746698,1861.5312678310395,1861.5312678310395,1861.5312678310395,29.95002527354314,29.95002527354314,29.95002527354314,0.0,0.0,0.0,2180.725542880868,19,869.5265532141544,1244490.849753274,1115.5675012088125,PUTUMAYO,0,1,1831.5812425574966,1831.5812425574966,1831.5812425574966
78,2018-04-23,310.22272109945203,-277.6158327300031,1844.8003494126153,310.22125128797154,310.2243797788001,429.01382209418966,429.01382209418966,429.01382209418966,29.95002527362275,29.95002527362275,29.95002527362275,0.0,0.0,0.0,739.2365431936416,10,869.5265532141544,1244490.849753274,1115.5675012088125,PUTUMAYO,0,1,399.0637968205669,399.0637968205669,399.0637968205669
79,2018-04-30,301.2511671490757,-1487.8535027517,565.8749022261192,301.2495528721852,301.2529500891692,-787.5552232112096,-787.5552232112096,-787.5552232112096,29.95002527597397,29.95002527597397,29.95002527597397,0.0,0.0,0.0,-486.30405606213395,18,869.5265532141544,1244490.849753274,1115.5675012088125,PUTUMAYO,0,1,-817.5052484871836,-817.5052484871836,-817.5052484871836
80,2018-05-02,298.6878660203967,-2174.987786016015,-151.77795736100254,298.68620842364874,298.68968357141324,-1440.9975139846908,-1440.9975139846908,-1440.9975139846908,-453.30191759641184,-453.30191759641184,-453.30191759641184,0.0,0.0,0.0,-1142.309647964294,25,869.5265532141544,1244490.849753274,1115.5675012088125,PUTUMAYO,0,1,-987.695596388279,-987.695596388279,-987.695596388279
81,2018-05-03,297.406215456057,-2626.8236291822896,-650.9463129828545,297.4045319609632,297.4080503125349,-1899.7426803416834,-1899.7426803416834,-1899.7426803416834,-862.764555998004,-862.764555998004,-862.764555998004,0.0,0.0,0.0,-1602.3364648856264,16,869.5265532141544,1244490.849753274,1115.5675012088125,PUTUMAYO,0,1,-1036.9781243436794,-1036.9781243436794,-1036.9781243436794
82,2018-05-14,283.30805924832276,-1068.4698565686754,930.8911175450048,283.30611956181536,283.3102188615512,-353.0393056072911,-353.0393056072911,-353.0393056072911,29.950025274490002,29.950025274490002,29.950025274490002,0.0,0.0,0.0,-69.73124635896835,11,869.5265532141544,1244490.849753274,1115.5675012088125,PUTUMAYO,0,1,-382.9893308817811,-382.9893308817811,-382.9893308817811
83,2018-05-21,274.33650529794636,-545.9373351748608,1526.741598643386,274.33440191699526,274.3388268295076,206.24801358055055,206.24801358055055,206.24801358055055,29.95002527456955,29.95002527456955,29.95002527456955,0.0,0.0,0.0,480.5845188784969,10,869.5265532141544,1244490.849753274,1115.5675012088125,PUTUMAYO,0,1,176.297988305981,176.297988305981,176.297988305981
84,2018-06-25,229.47873554606412,-694.7104873453197,1176.21498191921,229.47570758908606,229.4819902164068,-52.092748976814704,-52.092748976814704,-52.092748976814704,29.950025272309727,29.950025272309727,29.950025272309727,0.0,0.0,0.0,177.3859865692494,18,869.5265532141544,1244490.849753274,1115.5675012088125,PUTUMAYO,0,1,-82.04277424912443,-82.04277424912443,-82.04277424912443
85,2018-07-05,216.6622299026693,-1735.9652886828335,294.86353751361736,216.6588861538631,216.66586379596663,-926.3375579464403,-926.3375579464403,-926.3375579464403,-862.7645559979067,-862.7645559979067,-862.7645559979067,0.0,0.0,0.0,-709.675328043771,12,869.5265532141544,1244490.849753274,1115.5675012088125,PUTUMAYO,0,1,-63.57300194853357,-63.57300194853357,-63.57300194853357
86,2018-07-23,193.59251974455844,-1011.4735599976804,1037.1115209546685,193.58865413094335,193.59673670123266,-203.1536696110525,-203.1536696110525,-203.1536696110525,29.950025273256593,29.950025273256593,29.950025273256593,0.0,0.0,0.0,-9.561149866494048,11,869.5265532141544,1244490.849753274,1115.5675012088125,PUTUMAYO,0,1,-233.1036948843091,-233.1036948843091,-233.1036948843091
87,2018-09-04,138.48154547796034,-476.50550259293965,1636.274049707975,138.47649643570944,138.487132597824,421.1547961725788,421.1547961725788,421.1547961725788,945.7257053496302,945.7257053496302,945.7257053496302,0.0,0.0,0.0,559.6363416505392,13,869.5265532141544,1244490.849753274,1115.5675012088125,PUTUMAYO,0,1,-524.5709091770514,-524.5709091770514,-524.5709091770514
88,2018-09-17,121.82008814154709,-1073.1606793923293,1021.7485434432289,121.81464588240611,121.82605019703843,-110.27380776950821,-110.27380776950821,-110.27380776950821,29.950025273507084,29.950025273507084,29.950025273507084,0.0,0.0,0.0,11.54628037203888,12,869.5265532141544,1244490.849753274,1115.5675012088125,PUTUMAYO,0,1,-140.2238330430153,-140.2238330430153,-140.2238330430153
89,2018-10-12,89.77882403305985,-2510.445846794862,-524.4788887873838,89.77244633422923,89.78568203449667,-1596.0058246286717,-1596.0058246286717,-1596.0058246286717,-449.559124548317,-449.559124548317,-449.559124548317,0.0,0.0,0.0,-1506.2270005956118,15,869.5265532141544,1244490.849753274,1115.5675012088125,PUTUMAYO,0,1,-1146.4467000803547,-1146.4467000803547,-1146.4467000803547
90,2018-10-22,76.96231838966482,-1253.3351946501,778.9894305723527,76.95552330156221,76.9694713548517,-291.31879522049536,-291.31879522049536,-291.31879522049536,29.950025272890436,29.950025272890436,29.950025272890436,0.0,0.0,0.0,-214.35647683083056,5,869.5265532141544,1244490.849753274,1115.5675012088125,PUTUMAYO,0,1,-321.26882049338576,-321.26882049338576,-321.26882049338576
91,2018-11-06,57.73755992457239,142.18770736500133,2122.8332020818516,57.73022528736703,57.74520300605448,1042.428831775009,1042.428831775009,1042.428831775009,945.7257053516224,945.7257053516224,945.7257053516224,0.0,0.0,0.0,1100.1663916995815,21,869.5265532141544,1244490.849753274,1115.5675012088125,PUTUMAYO,0,1,96.70312642338654,96.70312642338654,96.70312642338654
